stemword,times,origin words
furtherli,1,furtherly
gloomi,1,gloomy
nanoscientist,1,nanoscientists
nanostar,1,nanostars
wreck,1,wrecking
climate/ecolog,1,climate/ecological
development.import,1,development.importance
sars-cov-2-assoc,1,sars-cov-2-assocated
coloc,1,colocalized
mcherri,1,mcherry
sars-cov-2-mcherri,1,sars-cov-2-mcherry
inter,1,interation
non-end-of-lif,1,non-end-of-life
unresect,1,unresectable
current/form,1,current/former
perceptu,1,perceptualized
granular,1,granularity
country-scal,1,country-scale
malfeas,1,malfeasance
metaphylact,1,metaphylactic
nicotinamid,1,nicotinamide
children/adolesc,1,children/adolescents
drug-diseas,1,drug-disease
preadmiss,1,preadmission
legislatur,1,legislatures
indig,1,indigent
earthquak,1,earthquake
air-handl,1,air-handling
diod,1,diode
light-emit,1,light-emitting
township,1,townships
elusori,1,elusory
19-juli,1,19-july
adenin,1,adenine
multicountri,1,multicountry
20-novemb,1,20-november
incompli,1,incompliant
automated/manu,1,automated/manual
ptm,1,ptms
civil,1,civilization
partial/complet,1,partial/complete
amyotroph,1,amyotrophic
nonhazard,1,nonhazardous
ro,1,ros
tylonycteri,1,tylonycteris
neurodegener,1,neurodegeneration
abramu,1,abramus
monochorion,1,monochorionic
dichorion,1,dichorionic
asymptomatic/undetect,1,asymptomatic/undetected
subphenotyp,1,subphenotype
over-repres,1,over-represented
biosignatur,1,biosignatures
sub-phenotyp,1,sub-phenotypes
disease-coronaviru,1,disease-coronavirus
collin,1,collins
employee-report,1,employee-reported
payor,1,payors
blight,1,blighted
corrections/adjust,1,corrections/adjustments
perus,1,perusal
bueno,1,buenos
air,1,aires
offshoot,1,offshoots
heretofor,1,heretofore
testicl,1,testicles
unheed,1,unheeded
genomic/antigen,1,genomic/antigenic
mosquito-born,1,mosquito-borne
disjunctur,1,disjuncture
de-escal,1,de-escalate
benefits-avert,1,benefits-averting
social-bas,1,social-based
keratoconjunctv,1,keratoconjunctvitis
pre-extract,1,pre-extracted
purg,1,purged
nt-neg,1,nt-negative
intricaci,1,intricacies
cross-institut,1,cross-institutional
clinical-laboratori,1,clinical-laboratory
webserv,1,webserver
galaxi,1,galaxy
i-tass,1,i-tasser
psipr,1,psipred
vaxijenserv,1,vaxijenserver
algpredserv,1,algpredserver
smell,1,smelling
tastebud,1,tastebuds
leukemia/lymphoma/chimer,1,leukemia/lymphoma/chimeric
dissuad,1,dissuaded
manufacturer-gener,1,manufacturer-generated
logistic/methodolog,1,logistic/methodological
antigen-encod,1,antigen-encoding
apathi,1,apathy
inappet,1,inappetence
organization-recommend,1,organization-recommended
agility/dynam,1,agility/dynamic
'placent,1,'placental
pericardiectomi,1,pericardiectomy
decort,1,decortication
pericardiocentesi,1,pericardiocentesis
droplet-gener,1,droplet-generating
under-vaccin,1,under-vaccinated
cut-off-indic,1,cut-off-indices
screening/surveil,1,screening/surveillance
'manifest,1,'manifestation
'non-specif,1,'non-specific
non-tubercul,1,non-tuberculous
ua,1,uas
address-bas,1,address-based
relationship-bas,1,relationship-based
manitoban,1,manitobans
nations-bas,1,nations-based
indigenous-l,1,indigenous-led
co-l,1,co-led
education-rel,1,education-related
physico-chem,1,physico-chemical
purpuric/petechi,1,purpuric/petechial
posibl,1,posible
ant,1,ante
60,1,60s
'wild-typ,1,'wild-type
milwauke,1,milwaukee
cardiotox,1,cardiotoxicity
supersed,1,supersede
mutagen,1,mutagenicity
herman,1,hermans
environmental/engin,1,environmental/engineering
tsunam,1,tsunamic
saltatori,1,saltatory
rank-order-correl,1,rank-order-correlation
bcg-induc,1,bcg-induced
'cutan,1,'cutaneous
protocol-defin,1,protocol-defined
immunoaffin,1,immunoaffinity
22-day,1,22-days
.sensit,1,.sensitivity
postarriv,1,postarrival
immunom,1,immunomics
intervb,1,intervbal
sample-specif,1,sample-specific
silico-bas,1,silico-based
snake-catch,1,snake-catching
amplicon-target,1,amplicon-targeting
symptom-trigg,1,symptom-triggered
exposure-trigg,1,exposure-triggered
homolog-model,1,homolog-modeled
student-friendli,1,student-friendly
spectrum,1,spectrums
consequence-fre,1,consequence-free
cell-deriv,1,cell-derived
incentive-bas,1,incentive-based
countries/territori,1,countries/territories
infections.graph,1,infections.graphical
wendi,1,wendy
generos,1,generosity
award,1,awarded
dbt/wellcom,1,dbt/wellcome
explori,1,exploris
faim,1,faims
re-pool,1,re-pooling
severelli,1,severelly
patients.method,1,patients.methods
topsi,1,topsis
bone,1,bones
collim,1,collimation
ectoenzym,1,ectoenzyme
lodg,1,lodged
vehement,1,vehemently
one-sid,1,one-sided
vp,1,vps
sequestosom,1,sequestosome
so-approv,1,so-approved
3-kinas,1,3-kinase
phagophor,1,phagophores
catapult,1,catapulted
lysosom,1,lysosomal
er-associ,1,er-associated
alpha-mannosidas,1,alpha-mannosidase
psychobehavior,1,psychobehavioral
ovary/cel,1,ovary/cell
synthas,1,synthase
cga,1,cgas
triphosphatas,1,triphosphatase
january-septemb,1,january-september
self-suscept,1,self-susceptibility
serine/threonin,1,serine/threonine
3-methyladenin,1,3-methyladenine
catalog,1,cataloging
promethe,1,promethee
linguist,1,linguistic
autophagy-coronaviru,1,autophagy-coronavirus
oro/pharyng,1,oro/pharyngeal
supect,1,supected
non-exist,1,non-existent
obesity-experi,1,obesity-experience
omnibu,1,omnibus
gene-list,1,gene-lists
toxicologist,1,toxicologists
primary-car,1,primary-care
young-to-middle-ag,1,young-to-middle-aged
nursing-hom,1,nursing-home
osteoarthr,1,osteoarthritis
viruses-rel,1,viruses-related
hospital-b,1,hospital-bed
anti-infecti,1,anti-infectious
anti-proinflammatori,1,anti-proinflammatory
over-product,1,over-production
heat-intern,1,heat-internal
pbb,1,pbbs
biology-rel,1,biology-related
fast-act,1,fast-acting
fogarti,1,fogarty
parent-st,1,parent-stated
capture-recaptur,1,capture-recapture
peg-medi,1,peg-mediated
warden,1,wardens
aminoacid,1,aminoacidic
foretel,1,foretells
end-expiratori,1,end-expiratory
sb,1,sbs
pre-dilut,1,pre-dilution
detract,1,detracts
undigest,1,undigested
rdrp-amplifi,1,rdrp-amplified
corticosterioid,1,corticosterioids
pressure/inspir,1,pressure/inspired
infectolog,1,infectology
h2o2/tetrametylbenzidin,1,h2o2/tetrametylbenzidine
hologram,1,holograms
shear,1,shearing
field-port,1,field-portable
non-physician,1,non-physicians
distant-but-conserv,1,distant-but-conserved
preidentifi,1,preidentifying
nonsurvivor,1,nonsurvivors
function.•th,1,function.•the
estimated.•cumul,1,estimated.•cumulative
function.•potenti,1,function.•potential
•cumul,1,•cumulative
trypanosomiasi,1,trypanosomiasis
sars-cov-2-spike-encod,1,sars-cov-2-spike-encoding
chromacod,1,chromacode
occlud,1,occluded
sars-cov-deriv,1,sars-cov-derived
experimentally-determin,1,experimentally-determined
key,1,keys
breakroom,1,breakrooms
over-the-count,1,over-the-counter
electrochemiluminisc,1,electrochemiluminiscence
np/oropharyng,1,np/oropharyngeal
physican,1,physicans
shrink,1,shrinking
telecommun,1,telecommunication
fisher´,1,fisher´s
chariti,1,charities
stifl,1,stifled
cross-talk,1,cross-talking
interspers,1,interspersed
trans-synopt,1,trans-synoptically
sap-bas,1,sap-based
pre-test,1,pre-tested
hospitals.import,1,hospitals.importance
credit,1,credited
pamam-function,1,pamam-functionalized
amin,1,aminated
dendrimer-co,1,dendrimer-coated
past,1,paste
region-result,1,region-results
reaction-neg,1,reaction-negative
rand/univers,1,rand/university
rheumatologists/immunologist,1,rheumatologists/immunologists
rmd,1,rmds
cofactor,1,cofactors
histamine-cytokin,1,histamine-cytokine
cimetidin,1,cimetidine
experimentally-infect,1,experimentally-infected
naturally-infect,1,naturally-infected
pro-inflamm,1,pro-inflammation
nondifferenti,1,nondifferentiated
single-antibodi,1,single-antibody
cutoff-bas,1,cutoff-based
r-packag,1,r-package
method-ref,1,method-referred
sero-posit,1,sero-positives
evidence-adjust,1,evidence-adjusted
male-to-femal,1,male-to-female
'lungen,1,'lungene
thin-lay,1,thin-layer
autophagosome-lysosom,1,autophagosome-lysosome
larva,1,larvae
bioingin,1,bioingine
vaccines-despit,1,vaccines-despite
immunized/vaccin,1,immunized/vaccinated
anti-plagu,1,anti-plague
anti-lym,1,anti-lyme
anti-leprosi,1,anti-leprosy
penalis,1,penalised
pesti,1,pestis
pyogen,1,pyogenes
monocytogen,1,monocytogenes
sahli,1,sahly
perfringen,1,perfringens
anthraci,1,anthracis
lepra,1,leprae
multiantibodi,1,multiantibody
intermingl,1,intermingle
regions-includ,1,regions-including
castiglion,1,castiglione
lucr,1,lucrative
bless,1,blessing
fast-convent,1,fast-conventional
sars-cov2.th,1,sars-cov2.the
nidus,1,niduses
15-decemb,1,15-december
27-juli,1,27-july
unobserv,1,unobservable
latent,1,latently
target-sequ,1,target-sequences
susceptible-exposed-infected-remov,1,susceptible-exposed-infected-removed
perinatally-acquir,1,perinatally-acquired
unjustli,1,unjustly
sector-specif,1,sector-specific
fuell,1,fuelled
sars-cov-2-transmiss,1,sars-cov-2-transmission
influenza-like-il,1,influenza-like-illness
arginine-metabol,1,arginine-metabolizing
fuzzili,1,fuzzily
a475,1,a475s
preimplant,1,preimplantation
mean-revers,1,mean-reversion
undevelop,1,undeveloped
chemioluminesc,1,chemioluminescent
precoci,1,precociously
fatigue/malais,1,fatigue/malaise
segment/out,1,segment/outer
renin-angiotens,1,renin-angiotension
biblio-graphi,1,biblio-graphy
preventing/tr,1,preventing/treating
s-deriv,1,s-derived
polyepitop,1,polyepitopic
manufacturer-depend,1,manufacturer-dependant
symtom,1,symtoms
reperfus,1,reperfusion
hku1-specif,1,hku1-specific
industrial-scal,1,industrial-scale
10-e3/µl-high,1,10-e3/µl-higher
workhors,1,workhorse
unquantifi,1,unquantified
indication-bas,1,indication-based
replication-defici,1,replication-deficient
skin,1,skinning
dark-colour,1,dark-coloured
bare,1,barely
sars-cov-2-confirm,1,sars-cov-2-confirmed
introduction/aim,1,introduction/aims
leukapheresi,1,leukapheresis
noncompli,1,noncompliance
post-thanksgiv,1,post-thanksgiving
cov2-specif,1,cov2-specific
ace2-bind,1,ace2-binding
guidelines.conclus,1,guidelines.conclusion
agree/agre,1,agree/agree
interpol,1,interpolation
auto-isol,1,auto-isolation
bcg-base,1,bcg-based
authorized/licens,1,authorized/licensed
cologn,1,cologne
design-adjust,1,design-adjusted
antiarrhythm,1,antiarrhythmics
noac,1,noacs
non-tuberculosi,1,non-tuberculosis
sars-cov-2-fre,1,sars-cov-2-free
mother-to-inf,1,mother-to-infant
non-perman,1,non-permanent
sick,1,sickness
faster-spread,1,faster-spreading
cominarti,1,cominarty
cytototx,1,cytototxic
conspiratori,1,conspiratorial
myeloid-deriv,1,myeloid-derived
resilience-promot,1,resilience-promoting
down-trend,1,down-trending
benzoquinon,1,benzoquinones
terpen,1,terpenes
platform-specif,1,platform-specific
glasswar,1,glassware
demand-suppli,1,demand-supply
antigen-adjuv,1,antigen-adjuvant
protection/immun,1,protection/immunity
semi-annu,1,semi-annually
expound,1,expounding
nanobiosens,1,nanobiosensing
inflam,1,inflamed
purul,1,purulent
guyanes,1,guyanese
nizat,1,nization
nachtigal,1,nachtigall
desorption/ion,1,desorption/ionization
matrix-assist,1,matrix-assisted
non-domest,1,non-domestic
buttock,1,buttocks
all-encompass,1,all-encompassing
indicator-bas,1,indicator-based
borough,1,boroughs
zip-cod,1,zip-code
msh,1,mshs
licen,1,licened
coronavirus/coronavirus,1,coronavirus/coronaviruses
cov/cov,1,cov/covs
autophagy-rel,1,autophagy-related
indianapoli,1,indianapolis
additon,1,additonally
bilingu,1,bilingual
fn,1,fns
rna-polymeras,1,rna-polymerase
isotope-rel,1,isotope-related
lfia-,1,lfia-s
elisa-tot,1,elisa-total
clia-bas,1,clia-based
oro-/nasopharyng,1,oro-/nasopharyngeal
tellig,1,telligence
diphtheria-tetanus-pertussi,1,diphtheria-tetanus-pertussis
lipid-encapsul,1,lipid-encapsulated
tegi,1,tegies
40,1,40s
tie-break,1,tie-breaker
bacteriolog,1,bacteriological
polyangi,1,polyangiitis
granulomatosi,1,granulomatosis
timing-depend,1,timing-dependent
glucocorticoids-induc,1,glucocorticoids-induced
transpos,1,transpose
positive-strand,1,positive-stranded
multiwav,1,multiwave
hypothalamic-pituitary-adren,1,hypothalamic-pituitary-adrenal
26-februari,1,26-february
wage,1,wages
non-english-speak,1,non-english-speaking
steadfast,1,steadfastness
humanitarian,1,humanitarianism
loyalti,1,loyalty
overdu,1,overdue
delta-plu,1,delta-plus
liner,1,liners
re-strateg,1,re-strategize
multi-index,1,multi-indexes
repair,1,repairing
immune-regul,1,immune-regulation
b.1.1.248/lineag,1,b.1.1.248/lineage
nook,1,nooks
corner,1,corners
pyradiom,1,pyradiomics
hrct,1,hrcts
symptom‑bas,1,symptom‑based
2000,1,2000s
pre-versu,1,pre-versus
harmful-on,1,harmful-ones
antacid,1,antacids
depot-steroid,1,depot-steroids
antibiotic/analges,1,antibiotic/analgesic
under-diagnosi,1,under-diagnosis
immediate-typ,1,immediate-type
male-femal,1,male-female
50-year,1,50-years
bell-shap,1,bell-shaped
subsegment,1,subsegmental
thromboendoarterectomi,1,thromboendoarterectomy
souraski,1,sourasky
target-test,1,target-testing
hydropath,1,hydropathicity
t-cytotox,1,t-cytotoxic
torment,1,tormented
nonischem,1,nonischemic
peri-inflammatori,1,peri-inflammatory
eccrin,1,eccrine
nanoarchitectur,1,nanoarchitectured
nanosci,1,nanoscience
panopli,1,panoply
first‑lin,1,first‑line
fatality/cas,1,fatality/case
double-inactiv,1,double-inactivation
student-focus,1,student-focused
disesas,1,disesase
tipic,1,tipically
hcw-base,1,hcw-based
resolvin,1,resolvins
vesiculobul,1,vesiculobullous
28-day,1,28-days
exanthema,1,exanthemas
integumentari,1,integumentary
lymphopen,1,lymphopenic
saturation/fract,1,saturation/fraction
imaginari,1,imaginary
nonoverlap,1,nonoverlapping
dnase,1,dnases
d'urologi,1,d'urologie
international,1,internationale
plaque-reduct,1,plaque-reduction
institution-wid,1,institution-wide
nonessential/elect,1,nonessential/elective
recenc,1,recency
throat-rel,1,throat-related
rhinologist,1,rhinologists
2-sampl,1,2-sample
genomics-l,1,genomics-led
postdos,1,postdose
province-scal,1,province-scale
physicians.result,1,physicians.results
pipistrellu,1,pipistrellus
nonrep,1,nonrepeating
arbitrarili,1,arbitrarily
rnase-bind,1,rnase-binding
ics-contain,1,ics-containing
cerebel,1,cerebellitis
antibody-associ,1,antibody-associated
decarboxylas,1,decarboxylase
anti-glutam,1,anti-glutamic
uncommonli,1,uncommonly
hrm-base,1,hrm-based
apn-rel,1,apn-related
damage-associ,1,damage-associated
ion-selective-electrod,1,ion-selective-electrode
age-associ,1,age-associated
non-covid-design,1,non-covid-designated
ehr-pow,1,ehr-powered
concept-wid,1,concept-wide
laryngectomy/tracheοstomi,1,laryngectomy/tracheοstomy
snap,1,snapped
web-appl,1,web-application
homoplasi,1,homoplasies
'collabor,1,'collaboration
cells-bas,1,cells-based
strenuou,1,strenuous
antibody-induc,1,antibody-induced
lipothym,1,lipothymic
-author,1,-authorized
indicators.twenty-on,1,indicators.twenty-one
broad-act,1,broad-acting
layout,1,layouts
immune-inflamm,1,immune-inflammation
clinical/para-clin,1,clinical/para-clinical
.cough,1,.coughing
directori,1,directories
cond,1,conde
famou,1,famous
administration-defin,1,administration-defined
virally-encod,1,virally-encoded
hot-spot,1,hot-spots
phosphatidylethanolamin,1,phosphatidylethanolamine
mef,1,mefs
non-hcw,1,non-hcws
cohous,1,cohoused
within-cag,1,within-cage
th2-polar,1,th2-polarized
bisphosphonate-modifi,1,bisphosphonate-modified
i-r,1,i-re
virus-target,1,virus-targeting
uninhibit,1,uninhibited
uv-bas,1,uv-based
emitt,1,emitter
clinical/laboratori,1,clinical/laboratory
cytopenia,1,cytopenias
b-memori,1,b-memory
transmission-dynam,1,transmission-dynamic
stiffen,1,stiffened
sino-nas,1,sino-nasal
'kemeni,1,'kemeny
comor-bid,1,comor-bidity
'time-sensit,1,'time-sensitive
pangolin-deriv,1,pangolin-derived
pathogen-rel,1,pathogen-related
copies/sampl,1,copies/sample
pol-ymeras,1,pol-ymerase
sars-cov2-infect,1,sars-cov2-infected
unstain,1,unstainable
surface-virus-clean,1,surface-virus-cleaning
virus-to-cel,1,virus-to-cell
liquid-phas,1,liquid-phase
conduct-,1,conduct-ing
vapor,1,vapors
propaga-t,1,propaga-tion
territorial,1,territoriale
twenty-first-centuri,1,twenty-first-century
provider-academic-commun,1,provider-academic-community
risk-pron,1,risk-prone
vares,1,varese
aria-eaaci-eugm,1,aria-eaaci-eugms
antibodies-viru,1,antibodies-virus
monocyte-deriv,1,monocyte-derived
ormort,1,ormortality
non-immunolog,1,non-immunological
explant,1,explantation
postvir,1,postviral
physician-staf,1,physician-staffed
medicaid/uninsur,1,medicaid/uninsured
30i,1,30ies
pastor,1,pastoral
prosthodont,1,prosthodontic
craniofacial-/dental-rel,1,craniofacial-/dental-related
postfus,1,postfusion
saliva-posit,1,saliva-positive
event-fre,1,event-free
doac-treat,1,doac-treated
three-sit,1,three-site
24-decemb,1,24-december
rna-purif,1,rna-purification
five-tim,1,five-times
rna-column,1,rna-columns
skyrocket,1,skyrocketed
personalis,1,personalised
notion,1,notions
multipar,1,multiparous
t-lymphotrop,1,t-lymphotropic
noncongreg,1,noncongregate
chip-integr,1,chip-integrated
small-volum,1,small-volume
pathogen-monitor,1,pathogen-monitoring
system-integr,1,system-integrated
anti,1,antis
conditions/histori,1,conditions/history
january/februari,1,january/february
physician-direct,1,physician-directed
bloc,1,blocs
'super-spread,1,'super-spreaders
association.conclus,1,association.conclusion
disorgan,1,disorganized
kuno-kid,1,kuno-kids
hospitalization-wa,1,hospitalization-was
morphophysiolog,1,morphophysiological
crystal,1,crystallization
grossli,1,grossly
c-terminu,1,c-terminus
tetram,1,tetramer
reguir,1,reguirement
reput,1,reputable
minu,1,minus
magnapur,1,magnapure
qiasymphoni,1,qiasymphony
parisian,1,parisians
limited-resourc,1,limited-resource
re-inhal,1,re-inhalation
extrathorac,1,extrathoracic
cough-gener,1,cough-generated
unfavour,1,unfavourable
instrumentation-bas,1,instrumentation-based
unremitt,1,unremittent
immunecompromis,1,immunecompromised
fity-f,1,fity-five
nullifi,1,nullified
suspicion,1,suspicions
small-scal,1,small-scale
exaggerated.conclus,1,exaggerated.conclusion
hallucin,1,hallucinations
ira,1,iras
sprout,1,sprouted
hku5-rel,1,hku5-related
overstimul,1,overstimulation
fragment-medi,1,fragment-mediated
infection/repl,1,infection/replication
craniectomi,1,craniectomy
helpless,1,helplessness
confinement.th,1,confinement.the
biopsychosoci,1,biopsychosocial
settings.th,1,settings.the
iab,1,iabs
microwel,1,microwell
poliomyel,1,poliomyelitis
innoc,1,innocent
cell-express,1,cell-expressed
influenzalik,1,influenzalike
ophthalmopatholog,1,ophthalmopathologically
inchoat,1,inchoate
presentation-character,1,presentation-characterized
ophthalmopathologist,1,ophthalmopathologists
milk-f,1,milk-fed
langon,1,langone
outpatient-car,1,outpatient-care
qpcr-confirm,1,qpcr-confirmed
retrovirus,1,retroviruses
delus,1,delusions
uptod,1,uptodate
black/african/hispan,1,black/african/hispanic
anti-spike-seroposit,1,anti-spike-seropositive
participant-report,1,participant-reported
nsp1-code,1,nsp1-coding
recommended.th,1,recommended.the
hyposm,1,hyposmic
anosm,1,anosmic
coronavirus-19-rel,1,coronavirus-19-related
group-structur,1,group-structured
standbi,1,standby
deployment.conclus,1,deployment.conclusion
anti-spike-seroneg,1,anti-spike-seronegative
pandemic.methodolog,1,pandemic.methodology
.discuss,1,.discussion
pr.method,1,pr.methods
.object,1,.objective
throat,1,throats
addi,1,addis
ekka-koteb,1,ekka-kotebe
liverlearn,1,liverlearning
n-cov-rel,1,n-cov-related
cv-19-relat,1,cv-19-related
sars-cov2-rel,1,sars-cov2-related
sleepi,1,sleepiness
cross-cit,1,cross-citation
grasp,1,grasped
10-categori,1,10-category
ile-if,1,ile-ife
cycle.import,1,cycle.importance
cell-cultur,1,cell-cultured
positive-pressur,1,positive-pressure
s/co,1,s/cos
air–filt,1,air–filtered
cannabi,1,cannabis
coating/bond,1,coating/bonding
immunotherapy-bas,1,immunotherapy-based
therapy-rel,1,therapy-related
right-bas,1,right-basal
subfebril,1,subfebrile
noroviru,1,norovirus
resource-scarc,1,resource-scarce
pluristem,1,pluristems
carbohydr,1,carbohydrate
bat-born,1,bat-borne
inter-monom,1,inter-monomer
re-sampl,1,re-sampling
collector,1,collectors
ccp,1,ccps
21-residu,1,21-residue
no-crit,1,no-critical
disease-sever,1,disease-severity
post-diseas,1,post-disease
flavon,1,flavones
glucosinol,1,glucosinolate
confeder,1,confederated
untap,1,untapped
children-par,1,children-parent
periprosthet,1,periprosthetic
diesas,1,diesase
re-think,1,re-thinking
system.method,1,system.methods
cases.conclus,1,cases.conclusion
speciat,1,speciation
nls-associ,1,nls-associated
epistat,1,epistatic
non-commerci,1,non-commercial
sensor-bas,1,sensor-based
tcid50/react,1,tcid50/reaction
re-configur,1,re-configured
german,1,germane
non-pandem,1,non-pandemic
t-anxieti,1,t-anxiety
non-contrast-enhanc,1,non-contrast-enhanced
cellphon,1,cellphone
texting-en,1,texting-enabled
ncct,1,nccts
cross-recognit,1,cross-recognition
immune-assay,1,immune-assays
btc,1,btcs
'crossreact,1,'crossreactivity
reliv,1,relive
preappoint,1,preappointment
pan-coronavirus,1,pan-coronaviruses
medium-contain,1,medium-containing
bisbenzylisoquinolin,1,bisbenzylisoquinoline
stress/anxieti,1,stress/anxiety
standard.result,1,standard.results
fluorescein-label,1,fluorescein-labelled
scari,1,scary
myringotomi,1,myringotomy
over-reli,1,over-reliance
basketbal,1,basketball
proteomic-inform,1,proteomic-informed
uncharacteris,1,uncharacterised
plastom,1,plastome
laundri,1,laundry
fibr,1,fibre
juic,1,juice
constru,1,construe
abiot,1,abiotic
disconfirm,1,disconfirms
free-liv,1,free-living
derivati,1,derivaties
pyrimidon,1,pyrimidone
"3,4dihydropyrimidon",1,"3,4dihydropyrimidone"
'bronchodil,1,'bronchodilators
retrain,1,retrained
swissadm,1,swissadme
preanalysi,1,preanalysis
top-hit,1,top-hits
'dock,1,'docking
maybridg,1,maybridge
prepossess,1,prepossessing
high/veri,1,high/very
biosaf,1,biosafe
therapy.area,1,therapy.areas
self-swab,1,self-swabbing
de-centr,1,de-centralized
anti-malarial/anti-parasit,1,anti-malarial/anti-parasitic
influenza-vaccin,1,influenza-vaccination
'limit,1,'limiting
'increas,1,'increasing
'deceas,1,'deceased
'symptomatic/asymptomat,1,'symptomatic/asymptomatic
'infected/recov,1,'infected/recovered
unsurviv,1,unsurvivable
subdur,1,subdural
homonym,1,homonymous
lias,1,liasing
blood,1,bloods
floater,1,floaters
isolett,1,isolette
omv,1,omvs
nasnetmobil,1,nasnetmobile
nasnetlarg,1,nasnetlarge
efficientnet,1,efficientnets
inter-observ,1,inter-observer
nano-object,1,nano-objects
mass-diagnost,1,mass-diagnostic
participant-collect,1,participant-collected
idealist,1,idealistic
azathioprin,1,azathioprine
counter-product,1,counter-productive
entrench,1,entrenched
articles/review,1,articles/reviews
anti-retroviral/anti-vir,1,anti-retroviral/anti-viral
sialyl,1,sialylated
interrel,1,interrelated
germicid,1,germicidal
-simultan,1,-simultaneously
wavelength,1,wavelengths
22-octob,1,22-october
used-onlin,1,used-online
multi-method,1,multi-methods
pruriti,1,pruritis
ten-day,1,ten-days
strawberri,1,strawberry
ladi,1,lady
dropout,1,dropouts
sack,1,sacked
susceptible-exposed-infected-asymptomatic-documented-recov,1,susceptible-exposed-infected-asymptomatic-documented-recovered
nonepidem,1,nonepidemic
interjurisdict,1,interjurisdictional
refocus,1,refocusing
circuitri,1,circuitry
antigen-gener,1,antigen-generic
disease-relev,1,disease-relevant
sammp,1,sammps
killed/inactivated/degener,1,killed/inactivated/degenerated
inappar,1,inapparent
graphene-bas,1,graphene-based
multiply-mut,1,multiply-mutated
effects/potenti,1,effects/potentials
reimposit,1,reimposition
semi-synthet,1,semi-synthetic
all-languag,1,all-language
correlated.ther,1,correlated.there
four-weekli,1,four-weekly
real‑tim,1,real‑time
mathod,1,mathods
manmad,1,manmade
'adren,1,'adrenal
surveillance-bas,1,surveillance-based
'endocrin,1,'endocrine
oppress,1,oppressive
disorder-specif,1,disorder-specific
social/phys,1,social/physical
parent/caregiv,1,parent/caregiver
protein-enrich,1,protein-enriched
cush,1,cushing
bgc,1,bgcs
infection-associ,1,infection-associated
acromegali,1,acromegaly
unimagin,1,unimaginable
'call-to-arm,1,'call-to-arms
aesthetician,1,aestheticians
hairdress,1,hairdressers
background/purpos,1,background/purpose
well-curb,1,well-curbed
phocin,1,phocine
non-citizen,1,non-citizens
mrna-immun,1,mrna-immunized
type.ther,1,type.there
recommenc,1,recommencement
educational-scientif,1,educational-scientific
sub-studi,1,sub-study
out-pati,1,out-patient
angiotensinconvert,1,angiotensinconverting
-individu,1,-individuals
spike-mp,1,spike-mps
sars-cov-2-unrel,1,sars-cov-2-unrelated
gamma-induc,1,gamma-induced
granulocyte-macrophag,1,granulocyte-macrophage
granulocyte-coloni,1,granulocyte-colony
megapool,1,megapools
anaesthesiologist,1,anaesthesiologists
t-cell-respons,1,t-cell-responses
vaccine/antivir,1,vaccine/antiviral
-3-grab,1,-3-grabbing
hcw-despit,1,hcw-despite
1-convert,1,1-converting
ace2-rel,1,ace2-related
toss,1,tossing
encrypt,1,encrypted
ketoconazol,1,ketoconazole
itraconazol,1,itraconazole
'pituitari,1,'pituitary
quinidin,1,quinidine
triple-blind,1,triple-blinded
'diabet,1,'diabetes
'obes,1,'obesity
fast-spread,1,fast-spreading
bioconjug,1,bioconjugates
peptide-antibodi,1,peptide-antibody
injur,1,injured
nanoluciferas,1,nanoluciferase
admix,1,admixed
lipid-modifi,1,lipid-modified
amphiphil,1,amphiphile
esperanza/hop,1,esperanza/hope
antinucleocapsid-spik,1,antinucleocapsid-spike
satisfactorili,1,satisfactorily
t-cell-medi,1,t-cell-mediated
uvc-exposur,1,uvc-exposure
led,1,leds
powerhous,1,powerhouse
biocubafarma-th,1,biocubafarma-the
system-particularli,1,system-particularly
cov-deriv,1,cov-derived
evasion/suppress,1,evasion/suppression
interoper,1,interoperable
findabl,1,findable
ethno-raci,1,ethno-racial
post-intens,1,post-intensive
animal-rel,1,animal-related
epitopes-bas,1,epitopes-based
zoolog,1,zoological
lion,1,lions
asiat,1,asiatic
double-averag,1,double-average
sirna-bas,1,sirna-based
backgroundreverse-transcript,1,backgroundreverse-transcription
type.methodsw,1,type.methodswe
non-nucl,1,non-nucleic
overexuber,1,overexuberant
rdrp/n/intern,1,rdrp/n/internal
immuno-compromis,1,immuno-compromised
grievou,1,grievous
re-us,1,re-used
viropexi,1,viropexis
autoimmune/inflammatori,1,autoimmune/inflammatory
snake,1,snakes
son,1,sons
histopathologist,1,histopathologists
suspected/diagnos,1,suspected/diagnosed
1-physic,1,1-physical
once.resultsth,1,once.resultsthe
institutions/hospit,1,institutions/hospitals
risk-assess,1,risk-assessment
mnemon,1,mnemonic
older-summar,1,older-summarized
coryza/sor,1,coryza/sore
myalgia/malais,1,myalgia/malaise
backward,1,backwards
currently-in-us,1,currently-in-use
eitvatsrtl,1,eitvatsrtls
by-product,1,by-products
strand-displac,1,strand-displacement
ctvalu,1,ctvalues
specific/non-specif,1,specific/non-specific
vendor-develop,1,vendor-developed
isati,1,isatis
multi-raci,1,multi-racial
harbing,1,harbinger
super-emitt,1,super-emitters
human-sever,1,human-severe
dose-spar,1,dose-sparing
neutrophil/monocyt,1,neutrophil/monocyte
full-dos,1,full-dose
oligoclon,1,oligoclonal
informationshar,1,informationsharing
cross-ag,1,cross-agency
nefari,1,nefarious
dual-us,1,dual-use
