stemword,origin words
healthpuls,healthpulse
mimick,mimicking mimickers
high-temperatur,high-temperature
nonsignific,nonsignificant
victim-focus,victim-focused
well-studi,well-studied
rinse/gargl,rinse/gargle
school-ag,school-aged
-collect,-collected
hcw-collect,hcw-collected
spend,spending
choriocapillari,choriocapillaris
coher,coherence coherent
angiographi,angiography
parafov,parafoveal
quadrant,quadrants
superfici,superficial
plexus,plexuses
plexu,plexus
indecis,indecision indecisive
multinomi,multinomial
undecid,undecided
riski,risky
vaccination-promot,vaccination-promotion
anti-vaccin,anti-vaccine anti-vaccination anti-vaccinations
temperature-bas,temperature-based
point-preval,point-prevalence
higher-perform,higher-performing
crowd,crowding crowded crowds
intersector,intersectoral
near-real-tim,near-real-time
oversea,overseas
phylogeni,phylogeny phylogenies
countries-a,countries-as
'definit,'definitely
scientific-sound,scientific-sounding
lower-incom,lower-income
upper-middle-incom,upper-middle-income
stay-at-hom,stay-at-home
nonsymptomat,nonsymptomatic
dose-escal,dose-escalation dose-escalating
membrane-anchor,membrane-anchored
nonphysician/advanc,nonphysician/advanced
auspic,auspices
above-averag,above-average
low-avid,low-avidity
dissoci,dissociation dissociated
lose,losing loses
dwindl,dwindling
sars-cov-2infect,sars-cov-2infections
non-emirati,non-emiratis
emirati,emiratis
designe,designee
pretranspl,pretransplant
hyperendem,hyperendemic
monetari,monetary
incentivis,incentivisation
tetraparesi,tetraparesis
paresthesia,paresthesias
reloc,relocation
quarter,quarters
lever,levers
licensed-vaccin,licensed-vaccines
contemporari,contemporary
frontier,frontiers
non-urg,non-urgent
self-evid,self-evident
transcriptase–polymeras,transcriptase–polymerase
spirometri,spirometry
cardiorespiratori,cardiorespiratory
fuzzy-weight,fuzzy-weighted
zero-inconsist,zero-inconsistency
fuzzi,fuzzy
solid,solidity solids
constant,constants
t-spheric,t-spherical
ethicaci,ethicacy
estat,estate
contextualis,contextualised
transferr,transferrable
originality/valu,originality/value
pentapeptid,pentapeptides
nontox,nontoxic
cross-immunoprotect,cross-immunoprotection
under-report,under-reporting under-reported
survey-bas,survey-based
path,paths
recombinantli,recombinantly
s2frag-elisa,s2frag-elisas
crispr-cas12-bas,crispr-cas12-based
cross-neutr,cross-neutralize cross-neutralizing cross-neutralization cross-neutralized
trans-placent,trans-placental
biodivers,biodiverse biodiversity
mine,mining mines
spatter,spattered
marine-deriv,marine-derived
senesc,senescence
non-specifi,non-specified
susceptible-exposed-infected-recov,susceptible-exposed-infected-recovered
quality-adjust,quality-adjusted
qali,qalys
"100,000/qali","100,000/qaly"
payer,payers
sub-centimet,sub-centimeter
lethargi,lethargy
flatten,flattens flattening
toulous,toulouse
legisl,legislators legislation legislative
senat,senators
democrat,democratic democrats
enact,enacting enactment enacted
abid,abide abiding abided
government-impos,government-imposed
patienc,patience
envisag,envisage envisaged
case-by-cas,case-by-case
symptomatic/confirm,symptomatic/confirmed
vaxzevria/comirnati,vaxzevria/comirnaty
reflex,reflexive reflexes
distress,distressed distressing
mistrust,mistrusting
world,worlds
empathet,empathetic
komoli,komoly
kihívá,kihívás
orvostudománi,orvostudomány
kapcsolato,kapcsolatos
antimikrobá,antimikrobás
terápiá,terápiás
sikeresség,sikeressége
széle,széles
számo,számos
pandémiáv,pandémiával
fonto,fontos
járváni,járvány
illetv,illetve
víru,vírus
megértés,megértése
szüksége,szükséges
súlyo,súlyos
immunrendsz,immunrendszer
specifiku,specifikus
használato,használatos
tudománi,tudomány
releg,relegated relegates
xna-bas,xna-based
preamplif,preamplification
x10-23-mediat,x10-23-mediated
catalysi,catalysis
rna-encod,rna-encoded
patient-deriv,patient-derived
interventions.area,interventions.areas
nonsuppl,nonsupplemented
icu-hospit,icu-hospitalized
anti-tot,anti-total
post-symptom,post-symptoms
post-polymeras,post-polymerase
orderli,orderly
hub-and-spok,hub-and-spoke
20-minut,20-minute
gmo,gmos
derog,derogation
gmo-bas,gmo-based
non-quantit,non-quantitative
dna-assist,dna-assisted
filament,filaments
reactant,reactants
test-trace-and-isol,test-trace-and-isolate
tti-avoid,tti-avoiders
spreader,spreaders
semi-analyt,semi-analytical
self-acceler,self-accelerating
unhind,unhindered
utm,utms
mommi,mommy
biorepositori,biorepository
breastf,breastfed
suburb,suburbs
town,towns
in-clin,in-clinic
evangel,evangelical evangelicals
exurb,exurbs
gray,graying
media-bas,media-based
disaggreg,disaggregating disaggregation disaggregated
withhold,withholding
post-administr,post-administration
arthriti,arthritis
ndd,ndds
unknown.object,unknown.objectives
organotrop,organotropism
organ-specif,organ-specific
injury.method,injury.methods
immunofluorescence.measur,immunofluorescence.measurements
reticuloendotheli,reticuloendothelial
topolog,topologically topology topologies
arter,arteritis
vascul,vasculitis
macrophage/monocyte-lineag,macrophage/monocyte-lineage
stereotyp,stereotyped
plasmacytosi,plasmacytosis
tissues.conclus,tissues.conclusions
tissue-specif,tissue-specific
virus-independ,virus-independent
plasma-cel,plasma-cell
redefin,redefining redefined
rrm,rrms
ppm,ppms
unstat,unstated
maladapt,maladaptive
self-efficaci,self-efficacy
reward,rewards rewarding
mcv,mcvs
broad-scal,broad-scale
spong,sponge sponges
up-scal,up-scaling
vote,voted voting
clarif,clarification
inter-quartil,inter-quartile
canton,cantonal
synthesis,synthesise synthesised
clinicopathobiolog,clinicopathobiology
anteced,antecedent antecedents
cytolyt,cytolytic
liver-rel,liver-related
non-cirrhot,non-cirrhotic
fibrot,fibrotic
scrutinis,scrutinise scrutinised
chromogen,chromogenic
6xhis-tag,6xhis-tagged
immers,immersed
6xhi,6xhis
self-control,self-controlled
subset,subsets
infarct,infarction
unequ,unequal unequally
republican,republicans
engend,engender engenders engendering engendered
out-of-hospit,out-of-hospital
community-acquir,community-acquired
anticoronaviru,anticoronavirus
biomateri,biomaterial biomaterials
engineering-bas,engineering-based
bioprint,bioprinting
drug/vaccin,drug/vaccine
patient-specif,patient-specific
regen,regenerative
melani,melanie
savil,saville
setup,setups
nhp,nhps
unharm,unharmed
goals-of-car,goals-of-care
low-grad,low-grade
reconstruct,reconstructed reconstructing reconstruction reconstructions
time-to-neg,time-to-negativity
x-link,x-linked
bronchiectasi,bronchiectasis
nonprobability-bas,nonprobability-based
third,thirds
substrate-bas,substrate-based
nano-spac,nano-spacing
freestand,freestanding
dielectr,dielectric
colony-form,colony-forming
exten,extened
architectur,architecture architectures architectural
qrt-pcr-test,qrt-pcr-testing
abovement,abovementioned
qrt-pcr,qrt-pcrs
bulbar-limb,bulbar-limbal
quickvu,quickvue
generalis,generalisation generalisability generalised generalisable
minuscul,minuscule
healthcare-acquir,healthcare-acquired
nonfrontlin,nonfrontline
immunity.abbrevi,immunity.abbreviation
equiv,equivalized
poison,poisons
16,16s
rrna,rrnas
double-strand,double-stranded
biotinyl,biotinylated
instrument-fre,instrument-free
tooth-brush,tooth-brushing
untreat,untreated
leak-resist,leak-resistant
brain-tickl,brain-tickling
front,fronts
eating/drink,eating/drinking
abstrus,abstruse
someth,something
units-th,units-the
shed-show,shed-showing
scaffold,scaffolds
dna-particip,dna-participated
bpi,bpy
tetrahedr,tetrahedral
dt-base,dt-based
bioanalysi,bioanalysis
single-institut,single-institution
transition-st,transition-state
dna-enzym,dna-enzyme
ratiometr,ratiometric
hyperrespons,hyperresponsive
state-th,state-the
sputum/trach,sputum/tracheal
period-preval,period-prevalence
proof-of-principl,proof-of-principle
penal,penalized penalizing
retir,retired retirement
triangul,triangulate triangulation
upload,uploaded uploading
kar,kars
erciy,erciyes
koca,kocaeli
17-septemb,17-september
charit,charite charitable
valenc,valence
dictionari,dictionary
emir,emirates
wyom,wyoming
transcription-plymeras,transcription-plymerase
housekeep,housekeeping
hypothyroid,hypothyroidism
misinterpret,misinterpretation misinterpreted misinterpretations
prescript,prescriptions
beclomethason,beclomethasone
steroid-contain,steroid-containing
gliclazid,gliclazide
diuret,diuretic diuretics
facility-wid,facility-wide
hemodialysi,hemodialysis
cgmp,cgmps
ferment,fermentation
pastori,pastoris
puriti,purity
dl,dls
super-spread,super-spreading super-spreader super-spreaders
endur,enduring endured
buy,buying
rice-s,rice-sized
nanobiodevic,nanobiodevice
staphylococc,staphylococcal
screen-print,screen-printed
nanocub,nanocubes
nc,ncs
shatter,shattered
precondit,precondition preconditioned preconditions
norm-activ,norm-activation
pro-soci,pro-social
altruist,altruistic
pro-mandatori,pro-mandatory
vaccination-friendli,vaccination-friendly
upcom,upcoming
recod,recoding recoded
matrix-bas,matrix-based
antibodies-bas,antibodies-based
friendli,friendly
prejudic,prejudice
prejudice-bas,prejudice-based
ventur,venture
animu,animus
well-control,well-controlled
destabilis,destabilised
glycerol-contain,glycerol-containing
pb,pbs
tell,telling telles tells
sex/gend,sex/gender
pandemic/restor,pandemic/restoring
promoting/model,promoting/modeling
career-rel,career-related
science/vaccin,science/vaccines
politic,politicization politicized
de-politic,de-politicizing
low-transmiss,low-transmission
pairwis,pairwise
multilater,multilateral multilateralism
advisori,advisory
phrase,phrasing
donor-deriv,donor-derived
30-minut,30-minute
naso/oropharyng,naso/oropharyngeal
metatranscriptom,metatranscriptomics
nyc-distinct,nyc-distinctive
renin-angiotensin-aldosteron,renin-angiotensin-aldosterone
non‑reposit,non‑repositives
non-reposit,non-repositive
nation-st,nation-state
unbridl,unbridled
disregard,disregards disregarded disregarding
screening.method,screening.methods
system.result,system.results
not.conclus,not.conclusion
comb,combing
amplitude-bas,amplitude-based
short-liv,short-lived
well-toler,well-tolerated
nephrolog,nephrological nephrology
hospital-wid,hospital-wide
immune-bas,immune-based
immunebas,immunebased
mergenc,mergence
0-7day,0-7days
intralaboratori,intralaboratory
custodi,custody
jail,jails
real-time-revers,real-time-reverse
noncanc,noncancer
unplan,unplanned
reintub,reintubation
eua-clear,eua-cleared
self-identifi,self-identified self-identifying
sub-group,sub-groups
confect,confected
chimpanze,chimpanzee
revaccin,revaccination revaccinating
scleriti,scleritis
necrot,necrotizing
betamethason,betamethasone
taper,tapered
aetiolog,aetiology aetiological
vrdl,vrdls
-nation,-national
camp,camps
unsurmount,unsurmountable
bloom,blooming
border/custom,border/customs
interregion,interregional
bu,bus
diasourc,diasource
genecheck,genechecker
pipett,pipettes
holt-wint,holt-winters
immune-associ,immune-associated
breath-exh,breath-exhaled
solid-phas,solid-phase
microextract,microextraction
desorpt,desorption
spectromet,spectrometer
preconcentr,preconcentration
pick,picking
amdi,amdis
omic,omics
rt-qpcr-mediat,rt-qpcr-mediated
labor-extens,labor-extensive
one-tub,one-tube
formamid,formamide
concaten,concatenated concatenating
gan,gans
adversari,adversarial adversary
ligat,ligation ligated
per-sampl,per-sample
re-assess,re-assessed
automot,automotive
subsidi,subsidies
profus,profusely
tamponad,tamponade
victim,victims victimizing
fluticason,fluticasone
predispos,predispose predisposed predisposing
upsid,upside
'spike,'spiked
autoclave-bas,autoclave-based
re-isol,re-isolated
scanti,scanty
graph,graphs
unleash,unleashed unleashing
accredit,accreditation accredited
inventori,inventory inventories
state-specif,state-specific
region-specif,region-specific
via,vias
pre-vaccin,pre-vaccination pre-vaccine
2-week,2-weeks
intak,intake
isar,isareli
sequala,sequalae
causal,causality causally
october-decemb,october-december
≥65-year,≥65-years
reimburs,reimbursement reimbursed
vaccinating-facil,vaccinating-facilities
cepheid,cepheids
essenc,essence
rural,rurality
squalen,squalene
-adjuv,-adjuvanted
np-adjuv,np-adjuvanted
nonadjuv,nonadjuvanted
splenocyt,splenocytes
salt,salts
coronavirus-associ,coronavirus-associated
drug/vaccine/strategi,drug/vaccine/strategy
product-bas,product-based
chemo-divers,chemo-diversity
vestibul,vestibules
nucleoprotein-bas,nucleoprotein-based
virus-confirm,virus-confirmed
rhinoviru,rhinovirus
coagulase-neg,coagulase-negative
fungu,fungus
fumigatu,fumigatus
nanomedicine-bas,nanomedicine-based
sex-disaggreg,sex-disaggregated
sex-rol,sex-role
lnp,lnps
more-effici,more-efficient
enlist,enlists enlistment
exarceb,exarcebated
kauna,kaunas
sensat,sensations
inund,inundated
user-gener,user-generated
community-l,community-led
participatori,participatory
burst,bursts
inhomogen,inhomogeneity inhomogeneous
irreplac,irreplaceable
stool,stools
unequivoc,unequivocally
acceptance.result,acceptance.results
acceptance.conclus,acceptance.conclusions
prevention/therapi,prevention/therapy
endeavour,endeavours endeavouring
merci,mercy
reoccurr,reoccurrence
monom,monomers
non-respons,non-response
diall,dialling
bias-correct,bias-corrected
hand-wash,hand-washing
life-year,life-years
heat-treat,heat-treatment heat-treated
oil-ta,oil-tas
forti,forty
pediatric-specif,pediatric-specific
digitalis,digitalisation
recently-arriv,recently-arrived
pcp,pcps
snowbal,snowball
concur,concurred
youtub,youtube
pandemic-rel,pandemic-related
remiss,remission remissions
clozapin,clozapine
still-develop,still-developing
psychiatrist,psychiatrists
multi-dimension,multi-dimensional
technology-bas,technology-based
empow,empowers empowered empowering
coloss,colossal
non-seroposit,non-seropositive
'challeng,'challenge
brute-forc,brute-force
counter-intuit,counter-intuitive
preconfigur,preconfigured
lim,lims
seamlessli,seamlessly
pancreat,pancreatitis pancreatic
handout,handouts
dye-load,dye-loaded
polymersom,polymersome polymersomes
nanoparticles-bas,nanoparticles-based
sulfate-polyacrylamid,sulfate-polyacrylamide
methoxi,methoxy
polyethylen,polyethylene
glycol-b-polycaprolacton,glycol-b-polycaprolactone
copolym,copolymers
coomassi,coomassie
jurisdict,jurisdictions
cost-util,cost-utility
privaci,privacy
heavy-weight,heavy-weighted
light-weight,light-weighted
depthwis,depthwise
synergist,synergistically
overfit,overfitting
clc,clcs
plot,plotted plots
ctc,ctcs
tyrosin,tyrosine
tki,tkis
hydroxid,hydroxide
time-to-ev,time-to-event
multi-gener,multi-generations
non-famili,non-familial
self-screen,self-screening
invok,invoke
intric,intricate
agammaglobulinem,agammaglobulinemic
overarch,overarching
sad,sadness
bot,bots
activist,activists
oppos,opposing opposed opposes
nps-posit,nps-positive
nps-negative/clin,nps-negative/clinically
negative/clin,negative/clinically
e/,e/s
tation,tations
pinhead-s,pinhead-sized
pustul,pustules
exanthemat,exanthematous
pustulosi,pustulosis
interstiti,interstitial
ceftriaxon,ceftriaxone
subcorn,subcorneal
offend,offending
mrna-lnp,mrna-lnps
ioniz,ionizable ionizing ionization
cation,cationic cations cationically
ill-effect,ill-effects
adrenalin,adrenaline
lago,lagos
interviewer-administ,interviewer-administered
suffic,suffice
endonuclease-target,endonuclease-targeted
tran,trans
gradient,gradients
kendal,kendall
10-9v,10-9vs
10-6v,10-6vs
phacoemulsif,phacoemulsification
re-adapt,re-adapted
immunotest,immunotests
greec,greece
underpow,underpowered
rbd-direct,rbd-directed
s1-direct,s1-directed
gastroenter,gastroenteritis
lobe,lobes
dickey-ful,dickey-fuller
2020/begin,2020/beginning
harbour,harboured harbours
reminisc,reminiscent
provision,provisional provisionally
ensembl,ensemble ensembles
non-trivi,non-trivial
minimally-bias,minimally-biased
femor,femoral
intra-periton,intra-peritoneal
innocu,innocuity
bona-fid,bona-fide
infection-na,infection-naive
immuno-chromatograph,immuno-chromatographic
chip-bas,chip-based
oral/nas,oral/nasal
unwel,unwell
ari,aries
forty-on,forty-one
co-assist,co-assisted
na-specif,na-specific
cut-off,cut-offs
intermit,intermitting
immuno-analyt,immuno-analytics
//github.com/dan-ward-bio/covid-immunoanalyt,//github.com/dan-ward-bio/covid-immunoanalytics
non-smok,non-smoker non-smokers non-smoking
ach,ache aches
home-isol,home-isolate
color,colors colored
infanc,infancy
current/previ,current/previous
sars-cov-spik,sars-cov-spike
sars-cov-2-spik,sars-cov-2-spike
spike-vari,spike-variants
deidentifi,deidentified
state-bas,state-based
e-cigarett,e-cigarette e-cigarettes
vape,vaped
well-docu,well-documented
nicotin,nicotine
questionnaire-posit,questionnaire-positive
questionnaire-neg,questionnaire-negative
revceiv,revceived
commite,commitee
institiut,institiute
convieni,convienient
thionicotinamide-adenin,thionicotinamide-adenine
uv-irradi,uv-irradiated
aliment,alimentation
australian,australians
beneficiari,beneficiaries beneficiary
vehicle-mount,vehicle-mounted
thrombu,thrombus
sars-cov-2-vaccin,sars-cov-2-vaccine sars-cov-2-vaccination
nucleocapsid-protein-igg-antibodi,nucleocapsid-protein-igg-antibodies
ace2-receptor-binding-inhibit,ace2-receptor-binding-inhibition
spike-posit,spike-positivity spike-positive
antibody-rel,antibody-related
plummet,plummeted
normotherm,normothermic
perfus,perfusion perfused
multi-materi,multi-material
parasagitt,parasagittal
landmark,landmarks
soft,softness
textur,texture textural
serology-inform,serology-informed
standard-bas,standard-based
follicl,follicle follicles
progesteron,progesterone
sulfat,sulfate sulfated
steroidogenesi,steroidogenesis
fast-detect,fast-detection
antigen-antibody-bas,antigen-antibody-based
entic,enticed
infection-medi,infection-mediated
electrical-bas,electrical-based
hemostat,hemostatic
sticker,stickers
frameworks/mechan,frameworks/mechanisms
decentralis,decentralised decentralisation
who-recommend,who-recommended
nation-wid,nation-wide
science-reproduct,science-reproductive
mechanisms-bas,mechanisms-based
ct-scan,ct-scans
cnn,cnns
nonrandomli,nonrandomly
chew,chewing
vaping/e-cigarett,vaping/e-cigarettes
two-factori,two-factorial
single-blind,single-blinded
satisfact,satisfaction
integ,integer
pp,pps
self-weight,self-weighted
dialect,dialectic
deutsch,deutsches
klinisch,klinischer
navigationid=tri,navigationid=trial
genome-wid,genome-wide
storabl,storable
'scientif,'scientific
judgment,judgments
health-ori,health-oriented
non-expert,non-experts
pull-down-assist,pull-down-assisted
crispr/cas12a-assist,crispr/cas12a-assisted
infam,infamous
tediou,tedious
outdat,outdated
rich,richness
text-bas,text-based
location-bas,location-based
vancouv,vancouver
r/vancouv,r/vancouver
calgari,calgary
r/calgari,r/calgary
city-specif,city-specific
t-cell-stimul,t-cell-stimulating
early-warn,early-warning
biostatist,biostatistics
infectiolog,infectiology
correspondingli,correspondingly
allogen,allogeneic
post-transplant,post-transplantation
long-liv,long-lived
viral-vector,viral-vectored
public-priv,public-private
convict,convictions
ultra-sensit,ultra-sensitive
nonparametr,nonparametric
non-suspect,non-suspected
cryoglobulinaem,cryoglobulinaemic
etiopathogenesi,etiopathogenesis
justic,justice
contigu,contiguous
sample-to-answ,sample-to-answer
immune-compromis,immune-compromised
syndem,syndemic
conceptualis,conceptualise
postcoronaviru,postcoronavirus
single-ctent,single-ctenter
best-correct,best-corrected
biomicroscopi,biomicroscopy
osmolar,osmolarity
heathi,heathy
described.thirty-thre,described.thirty-three
collected.th,collected.the
ggo,ggos
short-axi,short-axis
similar-s,similar-sized
alum-adjuv,alum-adjuvanted
onsit,onsite
indistinguish,indistinguishable
.methodolog,.methodology
portion,portions
assay.result,assay.results
subnet,subnets
task-awar,task-aware
hemodialyz,hemodialyzed
s-antibodi,s-antibodies s-antibody
microneedl,microneedle
profit,profitable
ot,ots
kaplan-mei,kaplan-meier
tarone-war,tarone-ware
icp,icps
zcta,zctas
autocorrel,autocorrelation
autoregress,autoregressive
co-loc,co-located co-localization
pervas,pervasiveness
multi-theori,multi-theory
electroencephalograph,electroencephalographic
non-intervent,non-interventional
electrograph,electrographic
encephalopath,encephalopathic
nonconvuls,nonconvulsive
encephalopathi,encephalopathy
alphavirus-bas,alphavirus-based
dna-launch,dna-launched
self-repl,self-replicating
drep-,drep-s
inimit,inimitable
unremit,unremitting
redon,redone
ct-altern,ct-alternative
maxwel,maxwell
kingfish,kingfisher
all-com,all-comers
low-viral-tit,low-viral-titer
well-instruct,well-instructed
metrolog,metrology
rm,rms
charite-,charite-e
cool,cooling cooled
nat,nats
vivalyt,vivalytic
whatev,whatever
subfamili,subfamily
coronavirina,coronavirinae
subgenu,subgenus
sarbecoviru,sarbecovirus
four-fifth,four-fifths
immunoprotect,immunoprotected
trachea,tracheae
normalcy-recogn,normalcy-recognizing
conspicu,conspicuously
social-econom,social-economic
mass-product,mass-production
self-med,self-medication self-medicated
cluster-correct,cluster-corrected
flood,flooded
join,joined joining
myoneur,myoneural
single-wal,single-walled
swcnt,swcnts
noncoval,noncovalently
nanosensor,nanosensors
surface-immobil,surface-immobilized
real-time-polymeras,real-time-polymerase
microarray-bas,microarray-based
population-adjust,population-adjusted
mr,mrs
caseload,caseloads
asingle-cent,asingle-center
patient/cycl,patient/cycle
aposit,apositive
adocu,adocumented
unclear.abbrevi,unclear.abbreviations
endocrinolog,endocrinology endocrinologic endocrinological
cryopreserv,cryopreservation cryopreserved
posttranspl,posttransplant
mid-octob,mid-october
overrepresent,overrepresentation
non-condit,non-conditional
prehospit,prehospital
risk-stratifi,risk-stratified risk-stratify
censor,censoring censored
law,laws
realis,realising realised
commodif,commodification
decoloni,decolonial
free,frees
precept,precepts
freir,freire
unveil,unveiling unveiled
appris,apprised
acp/ann,acp/annals
biocontain,biocontainment
higher-tit,higher-titer
lower-tit,lower-titer
cargo,cargoes cargos
wide-rang,wide-range wide-ranging
amphipath,amphipathicity
hemolyt,hemolytic
half-lif,half-life
helic,helical helices
tumor-specif,tumor-specific
nl,nls
non-dent,non-dental
acceptability/satisfact,acceptability/satisfaction
always/frequ,always/frequently
immunity/antibodi,immunity/antibodies
love,loved
enjoy,enjoyment
self-car,self-care
cowork,coworker coworkers
sub-popul,sub-population sub-populations
based-model,based-models
categoris,categorised
acidosi,acidosis
in-house-mad,in-house-made
cessat,cessation
school-wid,school-wide
extermin,extermination
tout,touted
viewpoint,viewpoints
lymphadenopathi,lymphadenopathy lymphadenopathies
mri-detect,mri-detected
ipsilater,ipsilateral ipsilaterally
bi-rad,bi-rads
anti-metabolite-bas,anti-metabolite-based
non-respond,non-responders
theatr,theatre theatres
log-binomi,log-binomial
born,borne
pregnant/lact,pregnant/lactating
dosimetri,dosimetry
parenchym,parenchymal
inter-read,inter-reader
insist,insists insisting
thermographi,thermography
thermogram,thermograms
asymmetri,asymmetry
lacrim,lacrimal
caruncl,caruncles
advisor,advisors
non-adopt,non-adoption
abandon,abandonment
tension,tensions
romant,romantic
hang,hanging
non-ard,non-ards
ontolog,ontology ontologies
silo,siloed
fibrou,fibrous
stripe,stripes striped
latinx,latinxs
black,blacks
white,whites
races/ethn,races/ethnicities
invis,invisibility invisible
violenc,violence
health-nam,health-namely
racial,racialized racially
unaddress,unaddressed
non-clin,non-clinical
co-resid,co-residence
multigener,multigenerational
intersectionality-inform,intersectionality-informed
wearer,wearers
patient-report,patient-reported
self-protect,self-protection
sall,salling
plasmapheresi,plasmapheresis
ei-assay,ei-assays
vt-assay,vt-assays
aptamer-bas,aptamer-based
glucomet,glucometer glucometers
bichat-claud,bichat-claude
organisation-approv,organisation-approved
utensil,utensils
in-wel,in-well
igep,igepal
lower-preval,lower-prevalence
non-peer-review,non-peer-reviewed
non-healthcar,non-healthcare
girl,girls
quality-assur,quality-assured
nudg,nudges
spillov,spillover
hank,hanks
aconfirm,aconfirmed
unwilling,unwillingness
e-mail,e-mails
divorc,divorced
hawal,hawalli
al-kab,al-kabeer
catch,catching
doctor-recommend,doctor-recommended
authorities/healthcar,authorities/healthcare
first-degre,first-degree
debunk,debunking
monocentr,monocentric
hiccup,hiccups
myoclon,myoclonic
chop,chopped
rrarsva,rrarsvas
ifn-γ-produc,ifn-γ-producing
intratrach,intratracheal
vaccine-enhanc,vaccine-enhanced
aerodigest,aerodigestive
pathogenesis/transmiss,pathogenesis/transmission
vsv-,vsv-s
firmli,firmly
counterbalanc,counterbalancing
fia-posit,fia-positive
sociopsycholog,sociopsychological
overoptim,overoptimism
dual-fram,dual-frame
landlin,landline
drinker,drinkers
sars-cov-2-caus,sars-cov-2-causing
food-ingest,food-ingested
vector-carri,vector-carried
vitreou,vitreous
kilobas,kilobases
civet,civets
camel,camels
renam,renamed renaming
protease-induc,protease-induced
replication-transcript,replication-transcription
progeni,progenies progeny
storm,storms
apparatu,apparatus
sure,surely
cardiolog,cardiological cardiology
interst,interstate
urinogenit,urinogenital
phenomenolog,phenomenological phenomenology
desper,desperate desperately
dissatisfact,dissatisfaction
rediscov,rediscovered
psychosoci,psychosocial
resili,resilience
'hesit,'hesitant
predica,predicament
'local,'localized
role-model,role-modeling role-models role-modelling
house-to-hous,house-to-house
untrain,untrained
decidedli,decidedly
throat/nos,throat/nose
addenbrook,addenbrooke
rale,rales
neurologist,neurologists
sublevel,sublevels
21-day,21-days
ecchymosi,ecchymosis
heterozygos,heterozygosity
myeloprolif,myeloproliferative
pill,pills
ocp,ocps
intra-famili,intra-familial intra-family
newcastl,newcastle
egg,eggs
ndv-base,ndv-based
mouse-adapt,mouse-adapted
ceir,ceirs
philanthrop,philanthropic
reactions/ev,reactions/events
vaccine-unrel,vaccine-unrelated
perish,perished
portray,portrays portraying
dimorph,dimorphisms
gender-depend,gender-dependent
immune-endocrin,immune-endocrine
non-patient-ori,non-patient-oriented
illness-rel,illness-related
covid-19-diagnos,covid-19-diagnosed
unmeasur,unmeasured
two-hundr,two-hundred
ktr,ktrs
hdp,hdps
antispik,antispike
sfc,sfcs
state/territori,state/territory
re-off,re-offering
well-babi,well-baby
wbn,wbns
nicu,nicus
asymptomatic/mildli,asymptomatic/mildly
phototherapi,phototherapy
nonroutin,nonroutine
argen,argene
pre-design,pre-designed
staff,staffs
non-citi,non-city
co-oper,co-operate
contrast,contrasts contrasting contrasted
onp,onps
rida®gen,rida®gene
charact,characters
aegl,aegle
orthognath,orthognathic
maxillofaci,maxillofacial
bimaxillari,bimaxillary
maxillari,maxillary
genioplasti,genioplasty
cdc-base,cdc-based
incauti,incautious
pre-dialysi,pre-dialysis
fortnightli,fortnightly
susceptible-infectious-remov,susceptible-infectious-removed
sero-convers,sero-conversion
covid-infect,covid-infected
alphaviru,alphavirus
transfect,transfection transfected
electropor,electroporation
depriv,deprivation deprived
race-specif,race-specific
travel-rel,travel-related
voltammetry-bas,voltammetry-based
11-mercaptoundecano,11-mercaptoundecanoic
voltammetri,voltammetry
unsurpris,unsurprising
underserv,underserved
sars-cov-2-symptom,sars-cov-2-symptoms
geotag,geotagged
geo-awar,geo-aware
direct-act,direct-acting
image-bas,image-based
contact-fre,contact-free
discern,discernable
healthin,healthineers
early-passag,early-passage
mev-bas,mev-based
sae,saes
cerebral/splanchn,cerebral/splanchnic
pathogen-confirm,pathogen-confirmed
transfer-learn,transfer-learning
untruth,untruths
video,videos
covidvaccin,covidvaccine
parodi,parody
non-accept,non-acceptance
pashtun,pashtuns
pre-expos,pre-exposed
sars-cov-2-protein,sars-cov-2-proteins
illinoi,illinois
reus,reused reuses
all-fib,all-fiber
bio-prob,bio-probe
single-multi-mod,single-multi-mode
nanolit,nanoliter
antibodies-modifi,antibodies-modified
situ/on-sit,situ/on-site
semistructur,semistructured
third-lin,third-line
nomin,nominal
trainee-week,trainee-weeks
testimoni,testimony
gasp,gasping
mobilis,mobilisation
'hospit,'hospital
'commun,'community
ag-rdt-l,ag-rdt-led
'contextu,'contextual
nat-bas,nat-based
tertil,tertile
nanofluid,nanofluidic
end-point,end-points
nl-rang,nl-range
immunochemiluminesc,immunochemiluminescent
birth.pregn,birth.pregnant
-surround,-surrounding
kits/reag,kits/reagents
loccu,loccus
biogen,biogene
assays/kit,assays/kits
email,emails emailed
sex-adjust,sex-adjusted
micro-epidem,micro-epidemics
setting-specif,setting-specific
ppa,ppas
exclusionari,exclusionary
rhodamin,rhodamine
aptamer-attach,aptamer-attached
gn,gns
distance-depend,distance-dependent
baculoviru,baculovirus
rh-6g-attach,rh-6g-attached
wrap,wrapped
quench,quenched quenching
aptamer-spik,aptamer-spike
structural/genom,structural/genomic
sop,sops
dilig,diligent diligently diligence
sub-scal,sub-scales
non-hesit,non-hesitant
arab,arabic arabs
plant-deriv,plant-derived
prespecifi,prespecified
reassess,reassessed reassessment
states.method,states.methods
payrol,payroll
.result,.results
dorm-styl,dorm-style
sars-cov-2.conclus,sars-cov-2.conclusions
inmat,inmates
challenging.publ,challenging.public
strategies-includ,strategies-including
